Race Session (date),Piece,KM,Rigging,Personnel,Result
2/5/2012,1,2,c/s/p/s/p/s/p/s/p,"Cole/Gennaro/Rummel/Cornelius/Bertoldo/Struzyna/James,G./Lanzone",05:49.9
2/5/2012,1,2,c/p/s/p/s/p/s/p/s,Walsh/Kasprzyk/Inman/Newlin/Blomquist/Coppola/Banks/Peszek,05:51.7
2/5/2012,2,2,c/p/s/p/s/p/s/p/s,"Ochal/Miller/Stafford/NEWLIN/LANZONE/Guregian/James,R./Monaghan",05:49.7
2/5/2012,2,2,c/s/p/s/p/s/p/s/p,"Cole/Gennaro/Rummel/Cornelius/Bertoldo/Struzyna/James,G./SHALD",05:51.2
2/5/2012,2,2,c/p/s/p/s/p/s/p/s,Blomquist/Kasprzyk/Inman/OTTO/Walsh/Coppola/Banks/Peszek,05:51.2
2/9/2012,1,3.9,c/p/s/p/s/p/s/p/s,"Stafford/Peszek/Walsh/Coppola/James,R./Guregian/Banks/James,G.",11:37.3
2/9/2012,1,3.9,c/p/s/p/s/p/s/p/s,Gennaro/Bertoldo/Inman/Kasprzyk/Blomquist/Otto/Struzyna/Monaghan,11:39.0
2/9/2012,2,3.9,c/p/s/p/s/p/s/p/s,"Stafford/Peszek/Walsh/KASPRZYK/James,R./Guregian/Banks/James,G.",11:43.0
2/9/2012,2,3.9,c/p/s/p/s/p/s/p/s,Gennaro/Bertoldo/Inman/COPPOLA/Blomquist/Otto/Struzyna/Monaghan,11:56.0
2/9/2012,3,3.9,c/p/s/p/s/p/s/p/s,"Stafford/Peszek/Walsh/Kasprzyk/James,R./OTTO/Banks/James,G.",11:41.0
2/9/2012,3,3.9,c/p/s/p/s/p/s/p/s,Gennaro/Bertoldo/Inman/Coppola/Blomquist/GUREGIAN/Struzyna/Monaghan,11:58.0
2/11/2012,1,2,c/p/s/p/s/p/s/p/s,"Stafford/Peszek/Walsh/Kasprzyk/Inman/Otto/Banks/James,G.",05:41.3
2/11/2012,1,2,c/p/s/p/s/p/s/p/s,"Gennaro/Coppola/Blomquist/Bertoldo/James,R./Guregian/Struzyna/Monaghan",05:45.7
2/11/2012,2,2,c/p/s/p/s/p/s/p/s,"Stafford/Peszek/BLOMQUIST/Kasprzyk/Inman/Otto/Banks/James,G.",05:45.3
2/11/2012,2,2,c/p/s/p/s/p/s/p/s,"Gennaro/Coppola/WALSH/Bertoldo/James,R./Guregian/Struzyna/Monaghan",05:51.3
2/12/2012,1,2,c/p/s/p/s/p/s/p/s,"Stafford/Coppola/Walsh/Bertoldo/James,R./Guregian/Banks/Monaghan",05:37.0
2/12/2012,1,2,c/p/s/p/s/p/s/p/s,"Gennaro/Peszek/Blomquist/Kasprzyk/Inman/Otto/Struzyna/James,G.",05:39.0
2/12/2012,2,2,c/p/s/p/s/p/s/p/s,"GENNARO/Coppola/Walsh/Bertoldo/James,R./Guregian/Banks/Monaghan",05:47.0
2/12/2012,2,2,c/p/s/p/s/p/s/p/s,"STAFFORD/Peszek/Blomquist/Kasprzyk/Inman/Otto/Struzyna/James,G.",05:44.0
